"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","100","21460","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","  12","  14","4.000","2.748","0.0","100.0","0.0","0.0","0.0","2","   8","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","110","21461","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","   5","   8","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","120","21462","SOUL REVUE","Sykes,Charles Evans","  13","  14","3.862","3.073","0.0","100.0","0.0","0.0","0.0","1","   0","   7","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","131","28136","EARLY AAAD LITERATURE","Smith,April Faye","  16","  31","3.481","2.919","0.0","56.3","37.5","6.3","0.0","15","   3","   3","   3","   3","   2","   1","   0","   1","   0","   0","   0","   0","   0","   4","  11","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","150","21464","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L."," 135"," 154","3.150","2.937","1.4","39.3","37.8","20.0","2.2","20","   7","  30","  16","  20","  26","   5","  15","   8","   4","   2","   0","   1","   1","   7","  12","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","169","29550","INTRO TO AFRICAN AMERICAN LIT","Grim,Valerie","  33","  37","3.739","2.729","5.7","78.8","18.2","3.0","0.0","4","  11","  12","   3","   1","   4","   1","   1","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","8W2","Eight Week - Second","AAAD","AAAD-A","205","34343","BLACK ELECTORAL POLITICS","Stanfield,John H.","  12","  21","2.608","2.456","6.3","25.0","41.7","16.7","0.0","11","   2","   1","   0","   1","   4","   0","   0","   2","   0","   0","   0","   0","   2","   2","   5","   2","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","210","22831","BLACK WOMEN IN THE DIASPORA","McCluskey,Audrey T.","  30","  38","2.933","2.756","0.0","23.3","60.0","10.0","0.0","10","   0","   1","   6","   8","   6","   4","   2","   1","   0","   0","   0","   0","   2","   5","   3","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","8W2","Eight Week - Second","AAAD","AAAD-A","221","24239","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","  26","  43","3.542","3.139","0.0","73.1","15.4","7.7","3.8","17","  13","   4","   2","   1","   2","   1","   0","   1","   1","   0","   1","   0","   0","   1","  16","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","264","22833","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A."," 166"," 180","3.217","2.837","0.0","40.4","48.2","6.0","3.6","17","   5","  37","  25","  35","  35","  10","   4","   3","   3","   0","   5","   1","   3","   5","   9","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","295","30137","SURVEY OF HIP HOP","Orejuela,Fernando","  74","  92","3.226","2.912","2.5","43.2","40.5","13.5","1.4","19","   8","   9","  15","  11","  15","   4","   6","   4","   0","   1","   0","   0","   1","   6","  12","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","8W2","Eight Week - Second","AAAD","AAAD-A","299","34614","SPEC TPC ARTS&HUMANITIES AAADS","Horton-Stallings,Lamonda","  14","  22","3.257","2.972","0.0","35.7","50.0","14.3","0.0","8","   0","   4","   1","   5","   0","   2","   1","   0","   1","   0","   0","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","304","33343","BLACK PARIS","Julien,Eileen","   4","   6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","350","29553","BLACK ATLANTIC","Williams,Vernon","  28","  29","3.211","2.771","10.7","46.4","35.7","17.9","0.0","1","   3","   4","   6","   3","   3","   4","   1","   3","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","355","21465","AFRICAN-AMERICAN HISTORY I","Grim,Valerie","  29","  36","2.707","2.644","0.0","13.8","51.7","24.1","6.9","8","   0","   3","   1","   3","   9","   3","   4","   3","   0","   2","   0","   0","   1","   3","   3","   1","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","379","21466","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","  34","  40","3.576","2.921","8.3","55.9","44.1","0.0","0.0","6","   0","   8","  11","  13","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","393","26808","HISTORY OF JAZZ","Baker,David N.","  33","  35","2.821","2.886","3.0","45.5","15.2","18.2","21.2","2","   8","   3","   4","   2","   2","   1","   1","   5","   0","   2","   2","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","8W2","Eight Week - Second","AAAD","AAAD-A","399","37307","ADV TPCS ARTS&HUMANITIES AAADS","McCluskey,Audrey T.","  14","  18","2.586","2.735","6.3","21.4","50.0","7.1","0.0","7","   0","   2","   1","   4","   3","   0","   1","   0","   0","   0","   0","   0","   3","   1","   2","   0","   0","   1","   0","   0","   0","   0","   0","01-18-2013",
"Fall 2012","4128","1","Regular Academic Session","AAAD","AAAD-A","405","25740","CIV RHTS/BLACK POW MVMNT 54-74","Williams,Vernon","  16","  19","3.556","3.004","16.7","62.5","25.0","12.5","0.0","3","   2","   6","   2","   4","   0","   0","   1","   1","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","01-18-2013",
