"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","100","20747","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","20","23","3.985","2.708","0","100.0","0.0","0.0","0.0","3","5","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","110","20748","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","30","44","3.647","2.78","2.5","66.7","33.3","0.0","0.0","14","0","12","8","6","4","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","0","5","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","120","20749","SOUL REVUE","Cooper,Tyron","19","21","4","2.906","0","100.0","0.0","0.0","0.0","2","17","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","150","20750","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","170","207","2.695","2.909","0","25.9","37.6","21.8","10.0","45","2","24","18","24","30","10","14","11","12","5","6","6","8","11","26","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","156","28338","JIM CROW AND APARTHEID","Stanfield,John H.","25","48","3.016","2.95","0","40.0","36.0","16.0","4.0","24","3","4","3","1","6","2","2","2","0","0","1","0","1","9","13","1","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","169","25832","INTRO TO AFRICAN AMERICAN LIT","Comer,Nandi Njeri-Ayinde","25","46","3.588","2.963","0","76.0","16.0","4.0","0.0","22","5","11","3","2","2","0","0","1","0","0","0","0","1","9","12","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","265","20755","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","179","196","3.445","2.826","0.5","59.2","30.7","7.8","1.7","18","35","40","31","26","19","10","5","7","2","2","0","1","1","6","10","0","0","1","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","278","25204","CONTEMPORARY BLACK FILM","Horsley,Marsha Nicole","28","42","3.782","2.984","5.7","96.4","3.6","0.0","0.0","14","1","9","17","0","1","0","0","0","0","0","0","0","0","7","7","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","295","27150","SURVEY OF HIP HOP","Orejuela,Fernando","88","107","2.936","2.967","0","28.4","48.9","18.2","1.1","22","4","9","12","12","18","13","7","3","6","0","1","0","3","1","16","1","0","1","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","299","34367","SPEC TPC ARTS&HUMANITIES AAADS","Bailey,Marlon M","2","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-13-2014",
"Spring 2014","4142","8W2","Eight Week - Second","AAAD","AAAD-A","299","35204","SPEC TPC ARTS&HUMANITIES AAADS","Wester,Maisha","11","22","1.545","2.506","5.3","9.1","18.2","9.1","45.5","13","1","0","0","1","0","1","1","0","0","1","2","2","2","7","3","0","0","1","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","345","29304","HIP HOP MUSIC AND CULTURE","Orejuela,Fernando","8","13","3.25","2.967","20","50.0","37.5","0.0","12.5","5","0","3","1","1","1","1","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","350","29305","BLACK ATLANTIC","Craig,Byron B","34","43","3.512","2.668","0","67.6","26.5","0.0","2.9","10","4","9","10","8","1","0","0","0","0","0","1","0","1","1","8","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","356","20772","AFRICAN-AMERICAN HISTORY II","Smith,April Faye","35","42","3.52","2.57","5","82.9","5.7","2.9","2.9","9","13","11","5","0","2","0","0","0","1","0","1","0","2","5","2","0","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","380","23214","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","25","35","3.524","3.098","0","56.0","44.0","0.0","0.0","10","0","4","10","9","0","2","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","0","0","06-13-2014",
"Spring 2014","4142","1","Regular Academic Session","AAAD","AAAD-A","398","32857","ADV TPCS IN SOCIAL&HIST AAADS","Stanfield,John H.","3","8","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-13-2014",
