"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2013","4135","6W2","Six Week - Second","AAAD","AAAD-A","104"," 9942","GROUPS THEATRE WORKSHOP","Wise,Raymond","  20","  27","3.870","3.048","0.0","90.0","10.0","0.0","0.0","7","   0","  16","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W2","Four Week - Second","AAAD","AAAD-A","150"," 9943","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","  33","  45","3.488","2.846","2.7","51.5","48.5","0.0","0.0","12","   0","   8","   9","  10","   2","   4","   0","   0","   0","   0","   0","   0","   0","   1","   8","   2","   0","   1","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W1","Four Week - First","AAAD","AAAD-A","154","12653","HISTORY OF RACE IN AMERICAS","Doss,Adeyemi Oduwale","  32","  34","3.941","2.911","0.0","96.9","3.1","0.0","0.0","2","  22","   7","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W2","Four Week - Second","AAAD","AAAD-A","203","15990","STUDYING BLACKS OF NEW WORLD","Jones,Caralee Georgianna","  11","  13","3.418","2.516","9.1","45.5","45.5","9.1","0.0","2","   1","   3","   1","   3","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W1","Four Week - First","AAAD","AAAD-A","210","15583","BLACK WOMEN IN THE DIASPORA","Hamilton,Maria Eliza","  18","  20","3.944","2.788","0.0","94.4","5.6","0.0","0.0","2","  14","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W2","Four Week - Second","AAAD","AAAD-A","278","15584","CONTEMPORARY BLACK FILM","Horsley,Marsha Nicole","  22","  27","3.273","2.699","8.0","59.1","18.2","18.2","0.0","6","   8","   2","   3","   3","   0","   1","   2","   1","   1","   0","   0","   0","   1","   2","   2","   1","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","4W3","Four Week - Third","AAAD","AAAD-A","380","14327","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","  24","  40","3.521","2.824","3.6","58.3","41.7","0.0","0.0","16","   0","   6","   8","   3","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   4","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","6W2","Six Week - Second","AAAD","AAAD-A","388"," 9927","MOTOWN","Sykes,Charles Evans","  15","  23","3.867","2.912","0.0","86.7","13.3","0.0","0.0","8","   8","   5","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","09-13-2013",
"Summer 2013","4135","1","Regular Academic Session","AAAD","AAAD-A","495"," 9928","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","   0","   3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-13-2013",
"Summer 2013","4135","1","Regular Academic Session","AAAD","AAAD-A","495"," 9936","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","   1","   1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-13-2013",
