"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","104","7127","GROUPS THEATRE WORKSHOP","Mahluli,Nathanael Fareed","27","31","3.870","2.762","0.0","92.6","7.4","0.0","0.0","4","10","9","6","1","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","150","7128","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","27","40","3.219","2.931","3.4","44.4","48.1","3.7","0.0","14","0","9","3","2","4","7","1","0","0","0","0","0","1","2","11","0","0","0","0","0","0","0","0","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","380","7270","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","15","25","3.260","2.671","10.0","40.0","53.3","0.0","0.0","11","0","6","0","4","3","1","0","0","0","0","0","0","1","2","5","3","0","0","0","0","0","0","0","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","689","7145","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","698","7146","FIELD STUDY SEMINAR","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AAAD","AAAD-A","799","15101","STUDY&RESEARCH ABROAD IN AAADS","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AADM","AADM-Y","550","4929","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","7","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AADM","AADM-Y","750","4931","INTERNSHIP IN ARTS ADMIN","Rushton,Michael","1","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","ABEH","ABEH-A","495","7749","ANIMAL BEHAVIOR INTERNSHIP","Demas,Gregory","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
"Second Summer Session 2011","4115SS2","","","AFRI","AFRI-A","500","10691","ADV TOPICS IN AFRICAN STUDIES","Obeng,Samuel Gyasi","2","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-09-2011",
