name,tags,rmp_info,take_again
"Burnim, Mellonee","['Tough grader (4)', 'Get ready to read (2)']",2.5,NA
"Bodnar, John","['Hilarious (2)', 'Respected (2)', 'Lecture heavy (1)', 'Amazing lectures (1)', 'Gives good feedback (1)']",4.4,NA
"Pratt, Stephen",[],5.0,NA
"Menzel, Suzanne","['Amazing lectures (3)', 'Clear grading criteria (3)', 'Lots of homework (3)', 'Gives good feedback (3)', 'EXTRA CREDIT (2)', 'Respected (2)', 'Get ready to read (2)', 'Lecture heavy (1)', 'Caring (1)', 'Inspirational (1)', 'Participation matters (1)', 'Accessible outside class (1)']",3.7,40%
"German, Dan-Adrian","['Caring (12)', 'Respected (10)', 'Accessible outside class (7)', 'Participation matters (5)', 'Gives good feedback (5)', 'Hilarious (4)', 'Lots of homework (3)', 'Amazing lectures (2)', 'Tough grader (2)', 'Inspirational (2)', 'Get ready to read (2)', 'Clear grading criteria (2)', 'Graded by few things (1)']",3.9,71%
,[],NA,NA
"Caulton, Kenneth",[],2.1,NA
"Vila-Belda, Reyes","['Participation matters (2)', 'Tough grader (2)', 'Respected (2)', 'Caring (1)', 'Get ready to read (1)']",4.5,NA
"Wellman, Cara","['Tough grader (3)', 'Clear grading criteria (2)', 'Lecture heavy (2)']",3.7,NA
"Kitzmiller, Greg","['Participation matters (3)', 'Tough grader (3)', 'Get ready to read (2)', 'Lecture heavy (2)', 'Hilarious (2)', 'EXTRA CREDIT (2)', 'Respected (1)', 'Amazing lectures (1)']",3.0,NA
"McKowen, Diana",[],4.0,NA
,[],NA,NA
"Rowold, Katherine",[],2.9,NA
"Pace, David","['Respected (5)', 'Group projects (4)', 'Inspirational (3)', 'Caring (2)', 'Gives good feedback (2)', 'Amazing lectures (1)']",4.4,100%
"Ardizzonne, Tony",[],2.9,NA
"Bowman, Catherine","['Participation matters (2)', 'Lots of homework (1)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Inspirational (1)']",3.1,NA
"Bucur, Maria","['Caring (3)', 'Get ready to read (3)', 'Gives good feedback (1)', 'Participation matters (1)', 'Tough grader (1)', 'Clear grading criteria (1)', 'Respected (1)']",4.5,NA
,[],NA,NA
"Ruf, William","['Lecture heavy (2)', 'Tough grader (2)', 'Graded by few things (1)', 'Test heavy (1)', 'Get ready to read (1)']",2.8,NA
"Peters, Greg","['Respected (2)', 'Hilarious (1)', 'Gives good feedback (1)', 'Tough grader (1)', 'Caring (1)', 'Inspirational (1)', 'Participation matters (1)']",4.6,NA
"Botne, Robert","['Participation matters (2)', 'Gives good feedback (1)', 'Tough grader (1)', 'Beware of pop quizzes (1)']",3.4,NA
"Hoffman, Cindy",[],3.3,NA
"Williams, Arlington","['EXTRA CREDIT (1)', 'Clear grading criteria (1)']",4.3,NA
"Cullather, Nick",[],3.5,NA
"Sawhney, Harmeet","['Inspirational (1)', 'Amazing lectures (1)', 'Get ready to read (1)', 'Gives good feedback (1)']",4.7,NA
,[],NA,NA
"Haeberle, Dave","['Lecture heavy (1)', 'Amazing lectures (1)', 'Respected (1)']",4.4,NA
"Bokenkamp, Stephen",[],4.6,NA
"Furniss, Norman","['Respected (2)', 'Inspirational (1)', 'Caring (1)']",4.1,NA
"Thompson, William","['Tough grader (3)', 'Lecture heavy (2)', 'Respected (1)', 'Amazing lectures (1)']",2.3,NA
"Sieg, Brandon","['Participation matters (3)', 'Tough grader (2)']",4.0,NA
,[],NA,NA
"Rotella, Ellyce",[],2.9,NA
"Sprinkle, Geoff","['Hilarious (3)', 'Respected (2)', 'Caring (1)', 'Inspirational (1)', 'Participation matters (1)', 'Gives good feedback (1)']",4.2,NA
"Torchinsky, ","['Respected (1)', 'Tough grader (1)', 'Hilarious (1)']",3.7,NA
"Pyburn, Anne","['Inspirational (1)', 'Respected (1)']",3.6,NA
"Anderson, Chris","['Get ready to read (11)', 'Participation matters (3)', 'Caring (3)', 'Gives good feedback (3)', 'Amazing lectures (3)', 'So many papers (3)', 'Accessible outside class (2)', 'Clear grading criteria (1)', 'Tough grader (1)']",3.8,75%
,[],NA,NA
"Guth, Sherman","['Tough grader (7)', 'Clear grading criteria (4)', 'Respected (1)']",2.6,NA
"Applegate, Trent","['Hilarious (9)', 'Respected (7)', 'Caring (5)', 'Clear grading criteria (4)', 'Inspirational (3)', 'Accessible outside class (2)', 'Tough grader (2)', 'Graded by few things (1)', 'Lecture heavy (1)', 'Amazing lectures (1)', 'Participation matters (1)', 'Test heavy (1)']",4.5,78%
